Site,Plot,Pos,plant_ID,clone_ID,Tag_ID,slide_ID,grid_loc,Total_A_mm2,Visible_A_mm2,total_hy,A_hy_mm2,L_mm,D_L
BAS,5,14,239,AK,2091,B2,E1,0.981,0.981,3,7.05E-04,0.255,0.259938838
BAS,5,14,239,AK,2091,B2,B5,1.187,1.096,2,1.16E-03,0.216,0.197080292
BAS,5,14,239,AK,2091,B2,A5,0.853,0.706,5,2.12E-03,0.793,1.123229462
BAS,5,14,239,AK,2091,B2,C3,1.018,1.018,3,7.11E-04,0.206,0.202357564
BAS,5,14,239,AK,2091,B2,D1,2.387,2.364,0,0,0,0
BAS,5,14,239,AK,2091,B2,B7,1.965,0.996,1,5.99E-04,0.139,0.139558233
BAS,5,14,239,AK,2091,B2,E3,1.526,1.23,8,2.86E-03,0.683,0.555284553
BAS,5,14,239,AK,2091,B2,C7,1.594,1.503,0,0,0,0
LAF,1,7,239,AB,2583,L1,E5,1.256,1.256,0,0,0,0
LAF,1,7,239,AB,2583,L1,E3,1.825,1.825,0,0,0,0
LAF,1,7,239,AB,2583,L1,D3,1.672,1.672,0,0,0,0
LAF,1,7,239,AB,2583,L1,D1,1.379,1.379,0,0,0,0
LAF,1,7,239,AB,2583,L1,C3,1.45,1.45,0,0,0,0
LAF,1,7,239,AB,2583,L1,F3,1.481,1.481,0,0,0,0
LAF,1,7,239,AB,2583,L1,C5,1.073,1.073,0,0,0,0
LAF,1,7,239,AB,2583,L1,F5,1.117,1.117,0,0,0,0
LAF,1,7,239,AB,2583,L1,C1,1.458,1.458,0,0,0,0
LAF,1,7,239,AB,2583,L1,E1,1.238,1.238,0,0,0,0
LAF,1,4,225,AB,2580,L2,D5,1.945,1.365,45,3.87E-02,7.308,5.353846154
