"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-22",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-24",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-25",,,"1.08",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-26",,,"0.05",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-29",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-09-30",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-01",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-02",,,"0.12","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-03",,,"0.02",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-05",,,"0.40",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-06",,,"0.18","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-07",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-08",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-10",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-14",,,"0.01",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-19",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-20",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-10-21",,,"0.00","0.0",,,,
