Tag_ID,Tiller_23,Inf_23,Spikelet_A,Spikelet_B,Spikelet_C,tiller_Herb
443,22,5,NA,NA,NA,0
444,21,0,NA,NA,NA,0
445,9,6,33,53,41,0
446,22,0,NA,NA,NA,0
447,17,0,NA,NA,NA,0
448,14,6,NA,NA,NA,0
449,23,1,NA,NA,NA,0
450,22,1,NA,NA,NA,4
451,14,1,NA,NA,NA,0
452,26,7,44,32,34,0
453,31,0,NA,NA,NA,0
454,24,0,NA,NA,NA,0
455,12,1,NA,NA,NA,0
456,11,5,NA,NA,NA,0
457,7,1,NA,NA,NA,0
458,20,0,NA,NA,NA,0
459,12,6,48,32,51,0
460,25,4,33,25,23,0
461,38,0,NA,NA,NA,0
462,25,2,NA,NA,NA,0
463,50,11,40,36,52,0
464,29,1,NA,NA,NA,3
465,19,2,NA,NA,NA,0
466,6,1,NA,NA,NA,0
467,33,8,NA,NA,NA,0
468,16,9,NA,NA,NA,0
469,27,6,NA,NA,NA,4
470,12,7,NA,NA,NA,3
471,17,8,48,33,8,0
472,42,0,NA,NA,NA,0
473,25,2,NA,NA,NA,0
474,23,4,NA,NA,NA,0
475,8,2,NA,NA,NA,0
476,48,8,36,39,32,0
477,29,0,NA,NA,NA,0
478,2,0,NA,NA,NA,2
479,7,1,NA,NA,NA,0
480,9,0,NA,NA,NA,0
481,12,0,NA,NA,NA,0
482,7,0,NA,NA,NA,0
483,6,1,NA,NA,NA,3
484,7,0,NA,NA,NA,0
485,6,1,20,NA,NA,0
486,9,0,NA,NA,NA,0
487,34,0,NA,NA,NA,0
488,3,2,26,22,NA,0
489,9,0,NA,NA,NA,0
490,8,0,NA,NA,NA,8
491,11,0,NA,NA,NA,11
492,6,0,NA,NA,NA,0
493,2,0,NA,NA,NA,0
494,3,0,NA,NA,NA,3
495,6,0,NA,NA,NA,6
496,2,0,NA,NA,NA,2
497,13,0,NA,NA,NA,13
498,9,0,NA,NA,NA,9
499,14,0,NA,NA,NA,14
500,3,0,NA,NA,NA,0
501,24,2,NA,NA,NA,0
502,6,1,NA,NA,NA,1
503,10,0,NA,NA,NA,0
504,11,0,NA,NA,NA,0
505,12,4,27,31,19,3
506,8,3,33,37,NA,0
507,2,0,NA,NA,NA,2
508,10,5,NA,NA,NA,3
509,3,1,NA,NA,NA,2
510,23,8,30,31,NA,0
511,12,2,NA,NA,NA,0
512,25,5,NA,NA,NA,0
513,16,0,NA,NA,NA,1
514,17,1,NA,NA,NA,2
515,3,0,NA,NA,NA,3
516,15,2,NA,NA,NA,0
517,8,4,5,6,8,2
518,8,0,NA,NA,NA,2
519,5,0,NA,NA,NA,0
520,11,0,NA,NA,NA,2
521,5,1,NA,NA,NA,3
522,8,1,57,NA,NA,3
523,6,0,NA,NA,NA,1
524,5,0,NA,NA,NA,3
525,10,2,NA,NA,NA,1
526,6,0,NA,NA,NA,0
527,7,4,30,35,31,1
528,10,7,NA,NA,NA,1
529,2,0,NA,NA,NA,2
530,7,5,NA,NA,NA,2
531,12,1,NA,NA,NA,0
532,6,1,NA,NA,NA,6
533,4,2,NA,NA,NA,3
534,7,6,32,29,35,2
535,6,0,NA,NA,NA,2
536,13,2,NA,NA,NA,1
537,6,0,NA,NA,NA,3
538,6,0,NA,NA,NA,1
539,8,3,35,47,38,3
540,4,1,NA,NA,NA,3
541,7,4,NA,NA,NA,1
542,9,0,NA,NA,NA,1
543,9,1,NA,NA,NA,4
